@RELATION histogram
@ATTRIBUTE o1	REAL
@ATTRIBUTE o2	REAL
@ATTRIBUTE o 	{1,2,3,4,5,6}
@DATA
194,19.555556,2
194,19.666667,2
195,19.444444,2
197,19.777778,2
199,20,2
200,20.111111,2
201,20.111111,2
202,20.222222,2
205,20.555556,2
207,20.888889,2
210,20.888889,2
213,21.111111,2
216,21.333333,2
219,21.444444,2
222,21.888889,2
226,22.444444,2
228,22.444444,2
228,22.333333,2
228,22.333333,2
227,22.333333,2
226,22.222222,2
224,22.222222,2
222,22.111111,2
223,21.888889,2
222,22,2
221,21.888889,2
221,21.555556,2
220,21.333333,2
218,21.444444,2
216,21.333333,2
213,21.333333,2
209,20.888889,2
203,20.222222,2
198,19.666667,2
224,22.222222,6
219,22.444444,6
212,21,6
202,20,6
189,18.666667,6
180,17.777778,6
178,17.555556,6
178,17.666667,6
176,17.666667,6
174,17.111111,6
173,17.333333,6
169,16.333333,2
173,16.888889,2
177,17.666667,2
181,18,2
184,18.111111,2
188,18.333333,2
192,18.555556,2
195,18.888889,2
196,19,2
197,19.111111,2
196,19,2
194,19,2
192,18.888889,2
190,18.444444,2
189,18.888889,2
187,19.444444,2
186,19.333333,2
184,18.666667,2
185,18.444444,2
184,18.444444,2
185,18.555556,2
187,19.111111,2
189,18.777778,2
190,18.888889,2
193,19.111111,2
194,19,2
195,19.333333,2
196,19.222222,2
197,19.222222,2
197,19.333333,2
197,19.555556,2
197,19.666667,2
196,19.555556,2
194,19.333333,2
192,19.111111,2
191,19,2
190,18.777778,2
189,18.333333,2
189,18.666667,2
187,18.666667,2
187,18.777778,2
186,18.888889,2
186,18.555556,2
187,18.666667,2
189,18.888889,2
192,19.222222,2
192,19.222222,2
194,19.444444,2
197,19.777778,2
199,20,2
203,20.333333,2
207,20.666667,2
210,20.777778,2
213,21.111111,2
215,21.333333,2
219,21.666667,2
221,21.888889,2
221,21.888889,2
222,21.666667,2
221,21.777778,2
221,21.666667,2
219,21.555556,2
218,21.555556,2
218,21.666667,2
218,21.666667,2
217,21.444444,2
216,21.222222,2
216,21.222222,2
214,20.888889,2
212,21,2
209,20.777778,2
205,20.222222,2
201,19.777778,2
196,19.444444,2
228,21.333333,6
223,23,6
216,21.555556,6
208,20.666667,6
198,19.333333,6
185,18.666667,6
177,17.555556,6
176,17.333333,6
174,17.444444,6
171,17.333333,6
164,16.111111,2
167,16.555556,2
171,17,2
176,17.555556,2
180,17.666667,2
183,17.888889,2
188,18.555556,2
191,18.888889,2
192,19,2
193,19.222222,2
193,18.888889,2
192,18.555556,2
191,18.666667,2
189,18.666667,2
189,18.666667,2
188,18.888889,2
188,19.222222,2
187,18.666667,2
188,18.666667,2
188,18.555556,2
189,19,2
190,19.222222,2
191,18.888889,2
192,18.777778,2
193,19.111111,2
193,18.777778,2
193,18.888889,2
192,18.666667,2
192,19,2
191,18.777778,2
191,19.222222,2
190,19.111111,2
190,18.777778,2
188,18.555556,2
187,18.444444,2
186,18.555556,2
185,18.222222,2
184,18,2
183,18.222222,2
181,18.111111,2
180,18,2
178,17.888889,2
177,17.666667,2
178,17.555556,2
180,17.555556,2
183,18.111111,2
185,18.333333,2
186,18.333333,2
189,18.555556,2
192,19.222222,2
195,19.888889,2
200,20.111111,2
204,20.333333,2
207,20.555556,2
209,20.444444,2
213,21.111111,2
215,21.222222,2
215,21.222222,2
216,21.333333,2
216,21.333333,2
216,21.555556,2
215,21.111111,2
215,21.444444,2
215,21.444444,2
214,21.555556,2
213,21.333333,2
213,21,2
213,21,2
211,20.666667,2
210,20.333333,2
207,19.777778,2
204,19.555556,2
199,19.222222,2
195,19.111111,2
225,22,6
220,22.666667,6
212,21,6
204,20.333333,6
195,19.333333,6
182,18.111111,6
176,17.444444,6
173,17,6
170,16.777778,6
167,16.888889,6
162,16.555556,2
165,16.777778,2
169,16.555556,2
173,16.555556,2
177,17.333333,2
181,17.777778,2
186,18.333333,2
189,18.555556,2
190,18.777778,2
191,19,2
192,18.888889,2
190,18.666667,2
189,18.333333,2
188,18.555556,2
187,18.111111,2
186,18.222222,2
186,17.777778,2
186,18.333333,2
187,18.333333,2
187,18.444444,2
189,18.444444,2
190,18.555556,2
191,18.666667,2
191,18.555556,2
192,18.666667,2
192,18.666667,2
191,18.666667,2
190,18.666667,2
190,18.888889,2
188,18.666667,2
187,18.888889,2
186,18.555556,2
185,18.222222,2
184,18.111111,2
183,18,2
183,18,2
181,18.111111,2
179,18.111111,2
178,18,2
175,17.444444,2
173,17.111111,2
172,17.111111,2
170,16.777778,2
170,16.555556,2
172,16.666667,2
175,17.222222,2
176,17.333333,2
178,17.111111,2
181,17.444444,2
184,18.444444,2
188,18.777778,2
192,19.111111,2
196,19.333333,2
199,19.666667,2
202,20.111111,2
206,20.333333,2
209,20.333333,2
210,20.444444,2
210,20.666667,2
211,20.666667,2
212,21.111111,2
212,21,2
211,20.666667,2
212,21,2
211,20.888889,2
211,21,2
211,20.888889,2
211,20.444444,2
209,20.444444,2
207,20.222222,2
206,20.111111,2
203,19.777778,2
199,19.333333,2
196,19.333333,2
222,22.333333,6
216,21.777778,6
208,20.777778,6
200,20.111111,6
192,19.333333,6
180,17.666667,6
175,17.222222,6
171,16.666667,6
167,16,6
163,16.666667,2
166,17,2
169,16.777778,2
173,16.888889,2
177,17.555556,2
181,17.777778,2
185,18,2
187,18.333333,2
189,18.666667,2
190,18.666667,2
191,18.666667,2
190,18.666667,2
189,18.333333,2
187,18.222222,2
186,17.888889,2
185,17.777778,2
186,17.444444,2
185,18,2
186,18.111111,2
186,18.444444,2
